experiment,comparison,first,second,task_id,init_state_index,environment_seed,first_policy_rng_seed,second_policy_rng_seed,policy_rng_batch_size,first_success,second_success,cell,first_steps,second_steps,step_difference_second_minus_first,first_logical_vlm_forwards,second_logical_vlm_forwards,logical_vlm_forward_difference_second_minus_first,actual_vlm_forward_difference_second_minus_first,episode_wall_difference_second_minus_first
B_action_horizon,h25_vs_h10,h25,h10,7,1,1001,1007,1007,3,True,True,both_success,123,116,-7,5,12,7,,
B_action_horizon,h25_vs_h10,h25,h10,7,2,1002,1007,1007,3,False,True,second_only_success,280,131,-149,12,14,2,,
B_action_horizon,h25_vs_h10,h25,h10,7,3,1003,1003,1003,1,True,True,both_success,108,107,-1,5,11,6,6,0.2020080570000573
B_action_horizon,h25_vs_h10,h25,h10,7,4,1004,1004,1004,1,True,True,both_success,119,119,0,5,12,7,7,1.560762103000343
B_action_horizon,h25_vs_h10,h25,h10,7,5,1005,1005,1005,1,True,True,both_success,116,115,-1,5,12,7,7,1.535985993000395
B_action_horizon,h25_vs_h10,h25,h10,7,6,1006,1006,1006,1,True,True,both_success,114,112,-2,5,12,7,7,1.65263929899902
B_action_horizon,h25_vs_h10,h25,h10,7,7,1007,1007,1007,1,False,True,second_only_success,280,118,-162,12,12,0,0,-21.32496078300028
B_action_horizon,h25_vs_h10,h25,h10,7,8,1008,1008,1008,1,False,False,both_fail,280,280,0,12,28,16,16,3.225733933999436
B_action_horizon,h25_vs_h10,h25,h10,7,9,1009,1009,1009,1,True,True,both_success,117,120,3,5,12,7,7,1.3679504309993717
B_action_horizon,h25_vs_h10,h25,h10,8,0,1000,1008,1008,3,True,True,both_success,91,91,0,4,10,6,,
B_action_horizon,h25_vs_h10,h25,h10,8,1,1001,1008,1008,3,True,True,both_success,91,97,6,4,10,6,,
B_action_horizon,h25_vs_h10,h25,h10,8,2,1002,1008,1008,3,False,False,both_fail,280,280,0,12,28,16,,
B_action_horizon,h25_vs_h10,h25,h10,8,3,1003,1003,1003,1,True,True,both_success,93,97,4,4,10,6,6,1.3821867859996928
B_action_horizon,h25_vs_h10,h25,h10,8,4,1004,1004,1004,1,False,False,both_fail,280,280,0,12,28,16,16,1.8294859389998237
B_action_horizon,h25_vs_h10,h25,h10,8,5,1005,1005,1005,1,True,True,both_success,90,93,3,4,10,6,6,1.06285526100055
B_action_horizon,h25_vs_h10,h25,h10,8,6,1006,1006,1006,1,True,True,both_success,87,87,0,4,9,5,5,0.9508350730002348
B_action_horizon,h25_vs_h10,h25,h10,8,7,1007,1007,1007,1,True,True,both_success,88,86,-2,4,9,5,5,-0.15726598700075556
B_action_horizon,h25_vs_h10,h25,h10,8,8,1008,1008,1008,1,True,True,both_success,97,97,0,4,10,6,6,2.6065301439994073
B_action_horizon,h25_vs_h10,h25,h10,8,9,1009,1009,1009,1,False,True,second_only_success,280,89,-191,12,9,-3,-3,-29.911846484999842
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,4,0,1000,1004,1004,3,True,True,both_success,127,124,-3,13,13,0,,
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,4,1,1001,1004,1004,3,False,False,both_fail,280,280,0,28,28,0,,
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,4,2,1002,1004,1004,3,True,True,both_success,129,131,2,13,14,1,,
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,4,3,1003,1003,1003,1,False,False,both_fail,280,280,0,28,28,0,0,-0.18934219699985988
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,4,4,1004,1004,1004,1,True,True,both_success,128,127,-1,13,13,0,0,-0.5055008789995554
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,4,5,1005,1005,1005,1,True,True,both_success,122,125,3,13,13,0,0,0.46785355399879336
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,4,6,1006,1006,1006,1,True,True,both_success,237,262,25,24,27,3,3,3.2530761510006414
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,4,7,1007,1007,1007,1,True,True,both_success,129,132,3,13,14,1,1,-0.5803300540001146
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,4,8,1008,1008,1008,1,False,False,both_fail,280,280,0,28,28,0,0,-8.689404317999106
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,4,9,1009,1009,1009,1,False,False,both_fail,280,280,0,28,28,0,0,-0.9325749440004074
C_policy_adaptation,pretrained_vs_expert_only,pretrained,expert_only,5,0,1000,1005,1005,3,False,False,both_fail,280,280,0,28,28,0,,
