pair_id,condition,benchmark_task_id,init_state_index,metric,pre_mean,pre_sample_std,scale_floor,denominator
task07-init10,arm_actuator_gain_0p5,7,10,wm_relative_residual,-0.06961540637477752,0.05421366228018929,6.961540637477752e-08,0.05421366228018929
task07-init10,arm_actuator_gain_0p5,7,10,wm_action_residual,0.7994813419157459,0.1004398676794058,7.994813419157459e-07,0.1004398676794058
task07-init10,arm_actuator_gain_0p5,7,10,no_action_residual,0.8690967482905234,0.1216749804062506,8.690967482905233e-07,0.1216749804062506
task07-init10,arm_actuator_gain_0p5,7,10,latent_persistence_motion,0.8376759242626929,0.25731275033031104,8.376759242626928e-07,0.25731275033031104
task07-init10,arm_actuator_gain_0p5,7,10,eef_path_length,0.07536284307078008,0.03352089516251651,7.536284307078007e-08,0.03352089516251651
task07-init10,arm_actuator_gain_0p5,7,10,pixel_endpoint_mae,10.944021640285369,2.2599167984434465,1.0944021640285369e-05,2.2599167984434465
task07-init13,nominal,7,13,wm_relative_residual,-0.052301939456693584,0.04485859905663948,5.230193945669358e-08,0.04485859905663948
task07-init13,nominal,7,13,wm_action_residual,0.7844996144694667,0.11844274547433412,7.844996144694667e-07,0.11844274547433412
task07-init13,nominal,7,13,no_action_residual,0.8368015539261603,0.1247837050604379,8.368015539261602e-07,0.1247837050604379
task07-init13,nominal,7,13,latent_persistence_motion,0.6876178643395824,0.19102346164432205,6.876178643395824e-07,0.19102346164432205
task07-init13,nominal,7,13,eef_path_length,0.06418092717086116,0.03856576739489765,6.418092717086115e-08,0.03856576739489765
task07-init13,nominal,7,13,pixel_endpoint_mae,9.06229131452499,2.063532537253918,9.062291314524989e-06,2.063532537253918
task07-init13,arm_actuator_gain_0p5,7,13,wm_relative_residual,-0.052301939456693584,0.04485859905663948,5.230193945669358e-08,0.04485859905663948
task07-init13,arm_actuator_gain_0p5,7,13,wm_action_residual,0.7844996144694667,0.11844274547433412,7.844996144694667e-07,0.11844274547433412
task07-init13,arm_actuator_gain_0p5,7,13,no_action_residual,0.8368015539261603,0.1247837050604379,8.368015539261602e-07,0.1247837050604379
task07-init13,arm_actuator_gain_0p5,7,13,latent_persistence_motion,0.6876178643395824,0.19102346164432205,6.876178643395824e-07,0.19102346164432205
task07-init13,arm_actuator_gain_0p5,7,13,eef_path_length,0.06418092717086116,0.03856576739489765,6.418092717086115e-08,0.03856576739489765
