pair_id,condition,benchmark_task_id,init_state_index,period,start_index,target_index,wm_relative_residual_raw,wm_action_residual_raw,no_action_residual_raw,latent_persistence_motion_raw,eef_path_length_raw,pixel_endpoint_mae_raw,wm_relative_residual_anomaly,wm_action_residual_anomaly,no_action_residual_anomaly,latent_persistence_motion_anomaly,eef_path_length_anomaly,pixel_endpoint_mae_anomaly
task04-init03,arm_actuator_gain_0p5,4,3,pre,30,40,0.03142935037612915,0.7681100368499756,0.7366806864738464,0.8064257502555847,0.07268332690000534,16.124675750732422,0.975530893769293,0.4106110311240637,0.9380096172440798,0.5899202640634427,0.5542218153318038,1.309936833605245
task04-init03,arm_actuator_gain_0p5,4,3,pre,31,41,0.04840540885925293,0.8262233734130859,0.777817964553833,0.7154122591018677,0.07019596546888351,15.6444730758667,1.44658061154991,0.4577525479259075,0.3219574473861913,0.898929068745697,0.6526073917319437,1.4380695440390756
task04-init03,arm_actuator_gain_0p5,4,3,pre,32,42,0.03834444284439087,0.8149378299713135,0.7765933871269226,0.7332643270492554,0.06789194047451019,16.153480529785156,1.1674100840324362,0.2891173348371041,0.3402961323021037,0.8383177669749335,0.7437412431600059,1.3022508405721855
task04-init03,arm_actuator_gain_0p5,4,3,pre,33,43,-0.0017540454864501953,0.8064269423484802,0.8081809878349304,0.6820386648178101,0.06597082316875458,17.090822219848633,0.05476184295519536,0.16194265731657412,0.1327446439722983,1.0122390225441893,0.8197294896183441,1.0521395070939927
task04-init03,arm_actuator_gain_0p5,4,3,pre,34,44,-0.03283035755157471,0.8316614627838135,0.8644918203353882,0.7095164060592651,0.0643719956278801,18.019794464111328,0.8075400890563892,0.5390116706753005,0.9760286959934289,0.9189466560086644,0.8829698242175702,0.8042613968596792
task04-init03,arm_actuator_gain_0p5,4,3,pre,35,45,-0.02926921844482422,0.801882266998291,0.8311514854431152,0.6339493989944458,0.06285253167152405,18.550495147705078,0.7087260108132007,0.09403345116688575,0.4767398122166021,1.1755115919375245,0.9430709962044269,0.6626542784966494
task04-init03,arm_actuator_gain_0p5,4,3,pre,36,46,-0.024037718772888184,0.7751184701919556,0.7991561889648438,0.5466499328613281,0.057123757898807526,18.220813751220703,0.5635629597737227,0.3058869071914151,0.0024064206080476277,1.471910547051026,1.1696680249444429,0.7506233239064143
task04-init03,arm_actuator_gain_0p5,4,3,pre,37,47,-0.024787724018096924,0.7818357348442078,0.8066234588623047,0.5119824409484863,0.051989249885082245,17.48814582824707,0.5843740190334897,0.20551359669458993,0.1094198362070169,1.5896135392285924,1.3727593506122475,0.9461214577824649
task04-init03,arm_actuator_gain_0p5,4,3,pre,38,48,-0.04109203815460205,0.8739794492721558,0.9150714874267578,0.52753746509552,0.047279197722673416,16.53032112121582,1.0367842519648995,1.171351859321981,1.7334855603426336,1.536801155508905,1.5590616672258486,1.2016982845186384
task04-init03,arm_actuator_gain_0p5,4,3,pre,39,49,-0.08649730682373047,0.8151218295097351,0.9016191363334656,0.5441639423370361,0.0426289364695549,15.304109573364258,2.2966844233508774,0.29186676392131844,1.5320295946708395,1.4803509766030079,1.7429990026186213,1.5288889009295483
task04-init03,arm_actuator_gain_0p5,4,3,pre,40,50,-0.057518064975738525,0.7411044836044312,0.7986225485801697,0.4906572997570038,0.03785651549696922,13.941916465759277,1.4925717544670354,0.8141438560730913,0.01039796337038218,1.6620166116272848,1.931768267244628,1.8923635422578486
task04-init03,arm_actuator_gain_0p5,4,3,fault_influenced,41,51,-0.05534714460372925,0.7435371279716492,0.7988842725753784,0.39584147930145264,0.03312571346759796,12.509194374084473,1.4323333057378582,0.7777938563276949,0.006478510196093001,1.9839350763794252,2.118891328119912,2.2746574662890993
task04-init03,arm_actuator_gain_0p5,4,3,fault_influenced,42,52,-0.043670833110809326,0.6707913279533386,0.714462161064148,0.3880915641784668,0.02858690544962883,11.606790542602539,1.1083403577325084,1.8648042914651095,1.2707436100734821,2.010247571133616,2.298420220636377,2.515446314177101
task04-init03,arm_actuator_gain_0p5,4,3,fault_influenced,43,53,-0.0005806684494018555,0.6616796255111694,0.6622602939605713,0.2799034118652344,0.023956535384058952,10.639678955078125,0.08732057398815836,2.0009566966075636,2.052493764696304,2.377567747552629,2.4815707761395163,2.773501163696877
task04-init03,arm_actuator_gain_0p5,4,3,fault_influenced,44,54,0.02029430866241455,0.6203227043151855,0.600028395652771,0.24722042679786682,0.019058898091316223,11.056462287902832,0.6665570373269999,2.6189360836494915,2.9844488617825027,2.4885329464598764,2.675292871375186,2.662290666767829
task04-init03,arm_actuator_gain_0p5,4,3,fault_influenced,45,55,-0.010121703147888184,0.6287741661071777,0.6388958692550659,0.26495516300201416,0.013702944852411747,12.108696937561035,0.17742295917797257,2.492649381767757,2.402388196440694,2.4283200091653065,2.88714328442278,2.3815223896839943
task04-init03,arm_actuator_gain_0p5,4,3,fault_influenced,46,56,-0.015567243099212646,0.5982668399810791,0.6138340830802917,0.2569197416305542,0.012205015867948532,12.078007698059082,0.32852517526567615,2.9485077521322656,2.7777015004338272,2.4556018541054088,2.9463926579552875,2.3897112142040533
