rollout_id,benchmark_task_id,episode_index,success,failure,start_index,h1_raw_mse,h10_raw_mse,h10_correct_zero_disagreement,h10_correct_no_action_disagreement,h10_action_advantage_vs_zero,h10_persistence_raw_mse
pretrained-h10-task04-init01,4,1,False,True,23,0.1799003779888153,0.8172187805175781,0.060319822281599045,0.12124942988157272,0.11535871028900146,1.245182752609253
pretrained-h10-task04-init01,4,1,False,True,24,0.17526650428771973,0.7525262832641602,0.04144495725631714,0.125157430768013,0.09008777141571045,1.214629054069519
pretrained-h10-task04-init01,4,1,False,True,25,0.14847683906555176,0.7613409757614136,0.028388528153300285,0.12800925970077515,0.042444586753845215,1.185866117477417
pretrained-h10-task04-init01,4,1,False,True,26,0.14614319801330566,0.6954002380371094,0.017395244911313057,0.12630407512187958,0.046012282371520996,1.0554364919662476
pretrained-h10-task04-init01,4,1,False,True,27,0.16785883903503418,0.6870908737182617,0.013456689193844795,0.11080227792263031,0.042267024517059326,0.788605809211731
pretrained-h10-task04-init01,4,1,False,True,28,0.197081059217453,0.6804604530334473,0.016505278646945953,0.1396247148513794,0.027539849281311035,0.7723091840744019
pretrained-h10-task04-init01,4,1,False,True,29,0.1718788594007492,0.608955442905426,0.014831680804491043,0.0955386608839035,0.014731287956237793,0.6928508281707764
pretrained-h10-task04-init01,4,1,False,True,30,0.15998727083206177,0.6406238079071045,0.021878590807318687,0.09137102216482162,0.03364509344100952,0.6998440027236938
pretrained-h10-task04-init01,4,1,False,True,31,0.18354901671409607,0.6363748908042908,0.029738103970885277,0.0977400541305542,0.055023908615112305,0.6971940994262695
pretrained-h10-task04-init01,4,1,False,True,32,0.12976360321044922,0.575294017791748,0.06664372980594635,0.09594784677028656,0.05952787399291992,0.5265231132507324
pretrained-h10-task04-init01,4,1,False,True,33,0.11656909435987473,0.6017701625823975,0.062347494065761566,0.09382607787847519,0.08420693874359131,0.6310714483261108
pretrained-h10-task04-init01,4,1,False,True,34,0.10318499803543091,0.6881793737411499,0.08525034040212631,0.09143310785293579,0.10706597566604614,0.7666927576065063
pretrained-h10-task04-init01,4,1,False,True,35,0.11707526445388794,0.7227485179901123,0.1212732195854187,0.08513268083333969,0.16495388746261597,0.8168675303459167
pretrained-h10-task04-init01,4,1,False,True,36,0.12835639715194702,0.6826475858688354,0.16276435554027557,0.09039219468832016,0.13689148426055908,0.8571330904960632
pretrained-h10-task04-init01,4,1,False,True,37,0.09746243059635162,0.7258133292198181,0.20002898573875427,0.0926540419459343,0.06996577978134155,0.8143724799156189
pretrained-h10-task04-init01,4,1,False,True,38,0.10206615924835205,0.7503002882003784,0.2169564664363861,0.10244029760360718,0.054310381412506104,0.6982743144035339
pretrained-h10-task04-init01,4,1,False,True,39,0.12627433240413666,0.7088624238967896,0.23496606945991516,0.08953303098678589,-0.0010644793510437012,0.6333522796630859
pretrained-h10-task04-init01,4,1,False,True,40,0.12834620475769043,0.763079047203064,0.18375813961029053,0.07340779155492783,-0.008505702018737793,0.6125127673149109
pretrained-h10-task04-init01,4,1,False,True,41,0.11862774938344955,0.7535499334335327,0.18182262778282166,0.07734338194131851,-0.05963897705078125,0.5510923862457275
pretrained-h10-task04-init01,4,1,False,True,42,0.1592608094215393,0.7619883418083191,0.1493758261203766,0.07738633453845978,-0.11674708127975464,0.5329105257987976
pretrained-h10-task04-init01,4,1,False,True,43,0.27317938208580017,0.7743231654167175,0.14299723505973816,0.07895404100418091,-0.1251031756401062,0.4675905108451843
pretrained-h10-task04-init01,4,1,False,True,44,0.1813972443342209,0.7440285682678223,0.08519690483808517,0.08608371019363403,-0.11310654878616333,0.4472149610519409
